번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
201,동물미용업,02_03_11_P,5530000,577000004920210070,2021-08-11,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 동탄구 오산동  **** 라스플로레스 ***호,"경기도 화성시 동탄구 동탄대로 ***, 라스플로레스 ***호 (오산동)",18478,(주)마인드몽,2025-05-21 10:04:06,I,2026-02-04 01:35:23,,208624.936086903,411151.948385108,동물미용업,동물미용업(일반),L00,0,,(주)마인드몽_경기도화성시동탄구오산동****라스플로레스***호
118,동물미용업,02_03_11_P,5530000,575000004920210068,2021-08-09,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 효행구 봉담읍 동화리 ***-*,경기도 화성시 효행구 봉담읍 동화새터길 **,18303,대박놀개,2022-04-28 18:09:32,I,2026-02-04 01:35:23,,195933.038998141,413336.848838118,동물미용업,동물미용업(일반),000,0,,대박놀개_경기도화성시효행구봉담읍동화리***-*
299,동물미용업,02_03_11_P,3420000,342000004920210011,2021-08-04,,3,폐업,2,폐업,2026-01-30,,,,,0,,대구광역시 동구 지저동 ***-**,대구광역시 동구 공항로 ***(지저동),41047,앙앙 pet salon,2026-01-30 10:25:26,U,2026-02-04 11:04:37,,348172.53283189,267272.969084558,동물미용업,동물미용업(일반),000,0,,앙앙petsalon_대구광역시동구지저동***-**
109,동물미용업,02_03_11_P,5530000,574000004920210066,2021-07-26,,4,취소/말소/만료/정지/중지,4,말소,2024-10-07,,,,,0,,경기도 화성시 만세구 향남읍 상신리 ****-*,경기도 화성시 만세구 향남읍 상신하길로***번길 *-*,18617,올리스24 화성향남점,2024-10-07 15:49:10,I,2026-02-04 01:35:23,,190930.175019301,400435.893115353,동물미용업,동물미용업(일반),000,0,,올리스24화성향남점_경기도화성시만세구향남읍상신리****-*
200,동물미용업,02_03_11_P,5530000,577000004920210062,2021-07-08,,1,영업/정상,0,정상,,,,,031-373-7588,0,,경기도 화성시 동탄구 청계동  ***-*,"경기도 화성시 동탄구 동탄대로시범길 ***, 리더스프라자 *층 (청계동)",18477,뉴엘동물의료센터,2022-04-28 18:09:32,I,2026-02-04 01:35:23,,209007.093748907,411100.377429725,동물미용업,동물미용업(일반),000,0,,뉴엘동물의료센터_경기도화성시동탄구청계동***-*
199,동물미용업,02_03_11_P,5530000,577000004920210059,2021-07-02,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 동탄구 반송동  ***-**,"경기도 화성시 동탄구 **용사*길 **, *층 (반송동)",18439,개이쁨,2025-04-22 11:10:09,I,2026-02-04 01:35:23,,205862.521022508,410204.262582639,동물미용업,동물미용업(일반),000,0,,개이쁨_경기도화성시동탄구반송동***-**
198,동물미용업,02_03_11_P,5530000,577000004920210056,2021-06-14,,3,폐업,2,폐업,2025-01-20,,,,031-372-4888,0,,경기도 화성시 동탄구 영천동  ***-*,"경기도 화성시 동탄구 동탄순환대로**길 **, *층 (영천동)",18472,야옹아 멍멍해봐 동탄하나로점,2025-02-06 15:51:28,I,2026-02-04 01:35:23,,209301.955820977,411821.375216781,동물미용업,동물미용업(일반),000,0,,야옹아멍멍해봐동탄하나로점_경기도화성시동탄구영천동***-*
371,동물미용업,02_03_11_P,4211000,421000004920210001,2021-05-28,,3,폐업,2,폐업,2026-02-11,,,,,0,,강원특별자치도 동해시 평릉동 ***-* 주은빌,"강원특별자치도 동해시 평원*길 **-* (평릉동, 주은빌)",25752,달콩이,2026-02-11 17:44:07,U,2026-02-13 02:40:00,,387026.602204751,449690.367655087,동물미용업,동물미용업(일반),000,0,,달콩이_강원특별자치도동해시평릉동***-*주은빌
108,동물미용업,02_03_11_P,5530000,574000004920210052,2021-05-24,,1,영업/정상,0,정상,,,,,031-358-5606,0,,경기도 화성시 만세구 우정읍 조암리 ***-*,경기도 화성시 만세구 우정읍 장안로 **,18566,빛이날개,2022-04-28 18:09:32,I,2026-02-04 01:35:23,,183912.806955361,398522.186074192,동물미용업,동물미용업(일반),000,0,,빛이날개_경기도화성시만세구우정읍조암리***-*
203,동물미용업,02_03_11_P,5530000,577000004920210050,2021-05-24,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 동탄구 반송동  ***-*,"경기도 화성시 동탄구 **용사*길 **, *층 (반송동)",18439,루앤오,2024-04-03 14:27:08,I,2026-02-04 01:35:23,,205853.41331544,410030.056916123,동물미용업,동물미용업(일반),000,0,,루앤오_경기도화성시동탄구반송동***-*
