번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),용도지역,건물형태구분명,객실수,주택면적,방면적비율,소화기개수,단독경보형감지기개수,자동확산소화기대수,휴대용비상조명등대수,피난구유도등개수,유도표지개수,완강기대수,가스누설경보기대수,일산화탄소감지기대수,조식제공여부,오수처리시설용량,화장실수,화장실종류명,Unnamed: 46,record_key
439,농어촌민박업,03_11_08_P,3570000,AGCV035700002026000013,2026-02-19,,1,영업/정상,1,정상,,,,,,862.0,417-863,인천광역시 강화군 화도면 장화리 115-7,인천광역시 강화군 화도면 해안남로 2627,23061.0,마야스테이,2026-02-19 08:30:01,I,2026-02-21 00:20:05,,144346.839588201,459311.861409794,보전관리지역,,2,226358.0,0.0,7,9,2,3,4,0,0,0,1,,10.0,3,,,마야스테이_인천광역시강화군화도면장화리115-7
539,농어촌민박업,03_11_08_P,4170000,AGCV041700002026000015,2026-02-19,,1,영업/정상,1,정상,,,,,,670.0,,,경기도 양평군 양동면 범데미길 78,12538.0,리틀포레스트,2026-02-26 17:20:16,I,2026-02-28 00:20:02,,,,계획관리지역,,2,197.96,197.96,2,5,1,2,1,0,0,0,1,,0.0,2,,,리틀포레스트_
430,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000063,2026-02-14,,1,영업/정상,1,정상,,,,,,,695-905,제주특별자치도 제주시 애월읍 구엄리 1233,제주특별자치도 제주시 애월읍 애월해안로 670,63049.0,청춘연가,2026-02-14 16:57:09,I,2026-02-21 00:20:05,,141738.220236919,-1525.76533799348,,,8,324.72,0.0,11,13,3,9,0,11,3,3,3,,0.0,0,,,청춘연가_제주특별자치도제주시애월읍구엄리1233
545,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000062,2026-02-14,,1,영업/정상,1,정상,,,,,,,695-912,제주특별자치도 제주시 애월읍 신엄리 1195-1,제주특별자치도 제주시 애월읍 중엄1길 53,63047.0,여온,2026-02-26 09:54:36,U,2026-02-28 02:40:00,,141491.174831138,-2003.25391613549,,,1,8722.0,0.0,2,3,1,1,0,1,0,1,1,,0.0,0,,,여온_제주특별자치도제주시애월읍신엄리1195-1
472,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000066,2026-02-13,,1,영업/정상,1,정상,,,,,,,,,제주특별자치도 제주시 한경면 중산간서로 3385,63007.0,필채,2026-02-13 09:56:28,I,2026-02-25 00:20:01,,128982.928924867,-20151.9006025166,,,1,0.0,23.1,2,3,1,1,0,1,0,1,1,,3.0,0,,,필채_
553,농어촌민박업,03_11_08_P,6520000,AGCV065200002026000022,2026-02-13,,1,영업/정상,1,정상,,,,,,657.0,699-932,제주특별자치도 서귀포시 대정읍 영락리 1235-10,제주특별자치도 서귀포시 대정읍 영락사독로 24,63502.0,스테이방백,2026-02-26 15:35:58,U,2026-02-28 02:40:00,,126320.929218015,-25790.3063212422,계획관리지역,,1,112.15,0.0,4,3,1,3,2,2,0,1,1,,0.0,2,,,스테이방백_제주특별자치도서귀포시대정읍영락리1235-10
451,농어촌민박업,03_11_08_P,6520000,AGCV065200002026000021,2026-02-13,,1,영업/정상,1,정상,,,,,,1590.0,,,제주특별자치도 서귀포시 대정읍 일주서로2100번길 51-20,63520.0,머문블랙,2026-02-20 11:48:50,I,2026-02-22 00:20:02,,,,,,3,196.18,0.0,12,8,0,12,0,8,0,0,0,,0.0,8,,,머문블랙_
355,농어촌민박업,03_11_08_P,4590000,AGCV045900002026000001,2026-02-13,,1,영업/정상,1,정상,,,,,,860.0,345-841,충청남도 청양군 청남면 상장리 219-1,"충청남도 청양군 청남면 상장큰길 169-54, 2동",33366.0,청양의숲,2026-02-11 17:02:56,I,2026-02-13 00:20:38,,193888.621794652,317890.366612506,계획관리지역,,2,175.05,65.48,2,6,2,3,0,4,0,1,1,,6.0,2,,,청양의숲_충청남도청양군청남면상장리219-1
356,농어촌민박업,03_11_08_P,4590000,AGCV045900002026000002,2026-02-13,,1,영업/정상,1,정상,,,,,,991.0,345-841,충청남도 청양군 청남면 상장리 219-2,"충청남도 청양군 청남면 상장큰길 169-56, 청양애숲 1동",33366.0,청양애숲,2026-02-11 17:07:37,I,2026-02-13 00:20:38,,193849.314867747,317950.331457507,계획관리지역,,2,196.86,26.88,3,9,3,3,0,6,0,2,2,,8.0,3,,,청양애숲_충청남도청양군청남면상장리219-2
413,농어촌민박업,03_11_08_P,5190000,AGCV051900002026000005,2026-02-13,,1,영업/정상,1,정상,,,,,,670.0,,,경상북도 청도군 청도읍 금호길 56-15,38348.0,일루미아펜션,2026-02-13 17:05:55,I,2026-02-15 00:20:02,,,,계획관리지역,,2,229.42,0.0,12,12,7,12,0,3,0,3,3,,11.0,5,,,일루미아펜션_
