"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명","기타내역2",
"11","인터넷컴퓨터게임시설제공업","03_05_05_P","3640000","CDFF2241022026000004","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","대전광역시 동구 가오동 618 산양프라자","대전광역시 동구 은어송로 45, 산양프라자 101호 (가오동)","34692","밴딧PC","2026-03-03 13:27:00","I","2026-03-05 00:20:02","","240759.865279106","311751.21191045","인터넷컴퓨터게임시설제공업","유통관련업","0","","","33","0","0","","0","0","0","0","","","","","","","","","","","","6","","청소년이용불가","","","","","",
"12","인터넷컴퓨터게임시설제공업","03_05_05_P","3910000","CDFF2241022026000019","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 서정동 501-16","경기도 평택시 탄현1로 79, 1층 2호 (서정동)","17771","우주PC","2026-03-03 08:58:51","I","2026-03-05 00:20:02","","204641.341958248","396128.061139675","인터넷컴퓨터게임시설제공업","유통관련업","0","","","49","0","0","","0","0","0","0","","","","","","","","","","","","6","","청소년이용불가","","","","","",
"13","인터넷컴퓨터게임시설제공업","03_05_05_P","3910000","CDFF2241022026000020","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 비전동 836","경기도 평택시 평남로 686 (비전동)","17900","사랑방PC","2026-03-03 14:19:25","I","2026-03-05 00:20:02","","209773.905964402","387959.130336356","인터넷컴퓨터게임시설제공업","유통관련업","0","","성인PC방","23.4","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","","",
"14","인터넷컴퓨터게임시설제공업","03_05_05_P","6520000","CDFF2241022019000002","2019-02-15","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 서귀포시 서귀동 491-1 행복 꽃피는 정원","제주특별자치도 서귀포시 중앙로 12, 행복 꽃피는 정원 1층 (서귀동)","63595","바다PC","2026-03-03 09:33:38","U","2026-03-05 02:40:00","","159122.702343655","-27718.2600271024","인터넷컴퓨터게임시설제공업","유통관련업","4","기타","인터넷컴퓨터게임","33.3","3","1","근린생활시설","0","0","0","0","","","","","","","","","","","","7","","전체이용가","","","","일반상업지역","성인PC방",
"15","인터넷컴퓨터게임시설제공업","03_05_05_P","4820000","CDFF2241022023000006","2023-08-28","","01","영업/정상","13","영업중","","","","","","","","전라남도 순천시 연향동 1491-1 1층","전라남도 순천시 대석1길 12, 1층 (연향동)","57986","갤러리PC","2026-03-03 17:29:51","U","2026-03-05 02:40:00","","247804.866760038","161011.941999504","인터넷컴퓨터게임시설제공업","유통관련업","0","","","54.54","0","0","","0","0","0","0","","","","","","","","","","","","7","","","","","","준주거지역","성인PC방",
"16","인터넷컴퓨터게임시설제공업","03_05_05_P","5080000","CDFF2241022023000068","2023-07-07","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 원평동 1022-5","경상북도 구미시 금오시장로9길 8-1, 1층 맨우측호 (원평동)","39227","사탕PC","2026-03-03 16:59:38","U","2026-03-05 02:40:00","","320676.844905514","292752.28521635","인터넷컴퓨터게임시설제공업","유통관련업","0","","","43.22","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","성인PC방",
"17","인터넷컴퓨터게임시설제공업","03_05_05_P","5710000","CDFF2241022023000036","2023-06-20","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 서원구 수곡동 88-1 101호","충청북도 청주시 서원구 남들로35번길 5, 101호 (수곡동)","28680","꿀밤 PC","2026-03-03 17:38:29","U","2026-03-05 02:40:00","","243208.870628935","346797.836316066","인터넷컴퓨터게임시설제공업","유통관련업","2","","","41.58","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","7","","","","","","","성인PC방",
"18","인터넷컴퓨터게임시설제공업","03_05_05_P","3830000","CDFF2241022007000082","2007-11-20","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 동안구 호계동 1047-3 성보빌딩","경기도 안양시 동안구 평촌대로223번길 25, 성보빌딩 5층 (호계동)","14072","스톰PC방","2026-03-03 10:58:26","U","2026-03-05 02:40:00","","195886.565666216","432077.019505003","인터넷컴퓨터게임시설제공업","유통관련업","0","","","370.27","0","0","근린생활시설","0","52","0","0","","","","","","","","","","","","103","","","","","","","",
"19","인터넷컴퓨터게임시설제공업","03_05_05_P","3530000","CDFF2241022019000019","2019-05-23","","01","영업/정상","13","영업중","","","","","","","","인천광역시 남동구 논현동 677-4 소래타워 103호","인천광역시 남동구 소래역로 42, 소래타워 103호 (논현동)","21673","별 PC","2026-03-03 16:09:26","U","2026-03-05 02:40:00","","176464.978588644","433227.021346624","인터넷컴퓨터게임시설제공업","유통관련업","0","유흥업소밀집지역","기타게임물(PC)","58.5","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","6","","청소년이용불가","","","","일반상업지역","성인PC방",
"20","인터넷컴퓨터게임시설제공업","03_05_05_P","3930000","CDFF2241022024000048","2024-09-12","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 본오동 951-1 101호","경기도 안산시 상록구 샘골로 25, 101호 (본오동)","15572","순금PC","2026-03-03 17:14:15","U","2026-03-05 02:40:00","","187831.705077867","420469.902850342","인터넷컴퓨터게임시설제공업","유통관련업","0","","","65.91","0","0","근린생활시설","0","226","0","0","","","","","","","","","","","","5","","","","","","","",
