번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업종구분명,자본금의규모,사업자등록번호,Unnamed: 31,record_key
85,후원방문판매업체,08_26_05_P,6110000,20216110000301000332,2021-09-23,,3,폐업,4,폐업,2026-03-03,,,,,,,서울특별시 성동구 옥수동  ***번지 *호 옥수동극동아파트,"서울특별시 성동구 독서당로 ***, *동 ****호(옥수동, 옥수동극동아파트)",,성우PE,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,200951.206580662,449000.920061846,후원방문판매업,0,,,성우PE_서울특별시성동구옥수동***번지*호옥수동극동아파트
87,후원방문판매업체,08_26_05_P,6110000,20216110000301000344,2021-09-23,,3,폐업,4,폐업,2026-03-03,,,,,,7722.0,서울특별시 강서구 화곡동  **번지 **호 한울스카이빌,"서울특별시 강서구 까치산로*길 **, ***호(화곡동, 한울스카이빌)",,태흥 인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,186320.581488742,448899.086268662,후원방문판매업,0,,,태흥인셀덤_서울특별시강서구화곡동**번지**호한울스카이빌
95,후원방문판매업체,08_26_05_P,6110000,20216110000301000321,2021-09-10,,1,영업/정상,2,영업,,,,,218776167.0,,6526.0,서울특별시 서초구 잠원동  **번지 *호,"서울특별시 서초구 강남대로**길 *, *층(잠원동)",,(주)나드리가자,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,201624.292668992,445889.401388054,후원방문판매업,0,,,(주)나드리가자_서울특별시서초구잠원동**번지*호
76,후원방문판매업체,08_26_05_P,6110000,20216110000301000303,2021-08-31,,3,폐업,4,폐업,2026-03-03,,,,,,5306.0,서울특별시 강동구 천호동  **번지 **호 아스하임,"서울특별시 강동구 양재대로***길 **, ***호(천호동, 아스하임)",,담원인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,212444.919830789,449540.806092032,후원방문판매업,0,,,담원인셀덤_서울특별시강동구천호동**번지**호아스하임
78,후원방문판매업체,08_26_05_P,6110000,20216110000301000315,2021-08-31,,3,폐업,4,폐업,2026-03-03,,,,,,7961.0,서울특별시 양천구 목동  ***번지 *호 목동*차아이파크,"서울특별시 양천구 목동중앙로 **, 목동*차아이파크 ***동 ***호(목동)",,뷰티시안,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,188508.90281394,448282.36921349,후원방문판매업,0,,,뷰티시안_서울특별시양천구목동***번지*호목동*차아이파크
75,후원방문판매업체,08_26_05_P,6110000,20216110000301000298,2021-08-31,,3,폐업,4,폐업,2026-03-03,,,,,,6646.0,서울특별시 서초구 서초동  ****번지 *호 서초트레비앙,"서울특별시 서초구 반포대로**길 **, ***호(서초동, 서초트레비앙)",,르봄,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,200931.744555629,443161.487982754,후원방문판매업,0,,,르봄_서울특별시서초구서초동****번지*호서초트레비앙
96,후원방문판매업체,08_26_05_P,6110000,20216110000301000320,2021-08-31,,3,폐업,4,폐업,2026-03-03,,,,,,8701.0,서울특별시 관악구 신림동  ***번지 **호 행복리치빌,"서울특별시 관악구 조원로**길 **, ***호(신림동, 행복 리치빌)",,남산,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,192189.812884618,442581.260729475,후원방문판매업,0,6565100412.0,,남산_서울특별시관악구신림동***번지**호행복리치빌
73,후원방문판매업체,08_26_05_P,6110000,20216110000301000270,2021-08-25,,3,폐업,4,폐업,2026-03-03,,,,,,8352.0,서울특별시 구로구 개봉동  ***번지 **호,"서울특별시 구로구 개봉로*길 *, *층 ***호(개봉동)",,아라,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,187183.984660859,442725.355738324,후원방문판매업,0,,,아라_서울특별시구로구개봉동***번지**호
74,후원방문판매업체,08_26_05_P,6110000,20216110000301000264,2021-08-02,,3,폐업,4,폐업,2026-03-03,,,,,,4036.0,서울특별시 마포구 서교동  ***번지 *호 메세나폴리스,"서울특별시 마포구 양화로 **, *층 ***호(서교동, 메세나폴리스)",,프리덤 인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,192311.642580307,449855.643910445,후원방문판매업,0,,,프리덤인셀덤_서울특별시마포구서교동***번지*호메세나폴리스
66,후원방문판매업체,08_26_05_P,6110000,20216110000301000241,2021-07-15,,3,폐업,4,폐업,2026-03-03,,,,,,3413.0,서울특별시 은평구 구산동  **번지 **호,"서울특별시 은평구 연서로**길 *-**, *층 ***호(구산동)",,이너파워(INNER POWER),2026-03-03 00:00:00,U,2026-03-05 02:40:00,,192406.00636393,456283.937025081,후원방문판매업,0,4302901180.0,,이너파워(INNERPOWER)_서울특별시은평구구산동**번지**호
