번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),법인구분명,구분명,Unnamed: 30,record_key
25,유료직업소개소,11_50_02_P,4050000,2023564001814500001,2023-02-22,,1,영업/정상,20,영업중,,,,,0312624848,,,경기도 용인시 수지구 풍덕천동 1093-1,"경기도 용인시 수지구 풍덕천로96번길 3-1, 102호 (풍덕천동)",16841,일드림인력파출,2026-03-03 17:24:37,U,2026-03-05 02:40:00,,208199.266555401,424381.042103549,개인,유료,,일드림인력파출_경기도용인시수지구풍덕천동1093-1
55,유료직업소개소,11_50_02_P,5420000,2026542015114500001,2023-02-15,,1,영업/정상,20,영업중,,,,,,,,경상남도 고성군 거류면 용산리 5-2,경상남도 고성군 거류면 거류로 130,52924,(주)케이엔티 휴먼,2026-03-04 16:23:10,I,2026-03-06 00:20:02,,324820.17748653,164123.968020364,법인,유료,,(주)케이엔티휴먼_경상남도고성군거류면용산리5-2
150,유료직업소개소,11_50_02_P,4070000,2023407020914500001,2023-01-12,,3,폐업,40,폐업,2026-03-04,,,,,,,경기도 이천시 관고동 26-1,경기도 이천시 설봉로 25-1(관고동),17367,파출박사,2026-03-05 09:06:25,U,2026-03-07 02:40:00,,238715.721329002,419742.748592765,개인,유료,,파출박사_경기도이천시관고동26-1
41,유료직업소개소,11_50_02_P,5530000,2022553038814500029,2022-12-05,,3,폐업,40,폐업,2026-03-03,,,,,,,경기도 화성시 만세구 남양읍 남양리 311-3,"경기도 화성시 만세구 남양읍 화성로 1045, 108호",18254,뉴한국인력,2026-03-03 14:13:31,U,2026-03-05 02:40:00,,182299.289259223,411434.266113315,개인,유료,,뉴한국인력_경기도화성시만세구남양읍남양리311-3
6,유료직업소개소,11_50_02_P,3560000,2026356028614500002,2022-08-29,,1,영업/정상,20,영업중,,,,,032 873 0419,,,인천광역시 동구 송림동 295 인천산업용품유통단지,"인천광역시 동구 방축로 105, 인천산업용품유통단지 23동 317호 (송림동)",22530,모두 직업소개소,2026-03-03 16:40:55,I,2026-03-05 00:20:02,,169653.061072083,442555.053277966,,,,모두직업소개소_인천광역시동구송림동295인천산업용품유통단지
81,유료직업소개소,11_50_02_P,3340000,2025334017314500007,2022-06-29,,1,영업/정상,20,영업중,,,,,051 321 2030,,,부산광역시 사하구 당리동 321-1 경성리치W아파트 304호,"부산광역시 사하구 낙동대로 388, 304호 (당리동, 경성리치W아파트)",49329,(주)가이드잡,2026-03-04 16:00:04,U,2026-03-06 02:40:00,,380112.660261235,180021.207743134,법인,유료,,(주)가이드잡_부산광역시사하구당리동321-1경성리치W아파트304호
109,유료직업소개소,11_50_02_P,3160000,2022316016014500014,2022-05-31,,1,영업/정상,20,영업중,,,,,8519995,,,서울특별시 구로구 가리봉동 25-50,"서울특별시 구로구 구로동로 31, 3층 (가리봉동)",08322,(주)한진인력,2026-03-04 16:08:16,U,2026-03-06 02:40:00,,189858.868380972,442474.282204751,법인,유료,,(주)한진인력_서울특별시구로구가리봉동25-50
99,유료직업소개소,11_50_02_P,3460000,2025346019714500011,2022-04-20,,1,영업/정상,20,영업중,,,,,,,,대구광역시 수성구 수성동2가 79-8,"대구광역시 수성구 들안로 257, 1층 (수성동2가)",42132,대구어머니회세화,2026-03-04 14:45:42,U,2026-03-06 02:40:00,,345980.39466172,262639.184486575,개인,유료,,대구어머니회세화_대구광역시수성구수성동2가79-8
145,유료직업소개소,11_50_02_P,3940000,2024395005214500004,2022-03-21,,1,영업/정상,20,영업중,,,,,,,,경기도 고양시 덕양구 향동동 474 517호,"경기도 고양시 덕양구 꽃마을로 36, DMC스타비즈6블럭 517호 (향동동)",10545,제인파트너스,2026-03-05 13:40:57,U,2026-03-07 02:40:00,,190327.674570207,455360.926623372,개인,유료,,제인파트너스_경기도고양시덕양구향동동474517호
131,유료직업소개소,11_50_02_P,4520000,2022452034714500005,2022-03-18,,1,영업/정상,20,영업중,,,,,,,,충청남도 아산시 인주면 금성리 197-1,충청남도 아산시 인주면 인주로 75,31438,대광인력,2026-03-05 10:06:07,U,2026-03-07 02:40:00,,188712.729935072,371147.360685976,개인,유료,,대광인력_충청남도아산시인주면금성리197-1
