번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,Unnamed: 59,record_key
103,대중문화예술기획업,03_08_02_P,3990000,CDFF3241092026000007,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 다산동 **** 다산신안인스빌퍼스트포레 ****동 ****호,"경기도 남양주시 다산지금로***번길 **, ****동 ****호 (다산동, 다산신안인스빌퍼스트포레)",12284.0,하이하이 컴퍼니,2026-02-20 10:53:35,I,2026-02-22 00:20:02,,215501.447153626,455632.021661022,대중문화예술기획업,유통관련업,0,,"공연기획, 매니지먼트",0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,하이하이컴퍼니_경기도남양주시다산동****다산신안인스빌퍼스트포레****동****호
107,대중문화예술기획업,03_08_02_P,3990000,CDFF3241092026000006,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 화도읍 차산리 ***,경기도 남양주시 화도읍 재재기로***번안길 **-*,12200.0,주식회사 아이오케이미디어,2026-02-20 10:53:12,I,2026-02-22 00:20:02,,226463.399742781,457704.635697635,대중문화예술기획업,유통관련업,0,,연예인 매니지먼트,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사아이오케이미디어_경기도남양주시화도읍차산리***
96,대중문화예술기획업,03_08_02_P,3020000,CDFF3241092026000005,2026-02-19,,1,영업/정상,13,영업중,,,,,,,,서울특별시 용산구 한남동 ***-***,"서울특별시 용산구 대사관로**길 **-*, *층 (한남동)",4401.0,플레노엔터테인먼트 주식회사,2026-02-19 10:04:54,I,2026-02-21 00:20:05,,200423.496696391,448013.121416104,대중문화예술기획업,유통관련업,0,,연예인 매니지먼트,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,플레노엔터테인먼트주식회사_서울특별시용산구한남동***-***
95,대중문화예술기획업,03_08_02_P,3220000,CDFF3241092026000031,2026-02-19,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 ***-*,"서울특별시 강남구 강남대로***길 **, *층 제이***호 (논현동)",6121.0,주식회사 앤드어스컴퍼니,2026-02-19 16:02:32,I,2026-02-21 00:20:05,,202418.090672911,444911.502269899,대중문화예술기획업,유통관련업,0,,매니지먼트,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사앤드어스컴퍼니_서울특별시강남구논현동***-*
89,대중문화예술기획업,03_08_02_P,3220000,CDFF3241092026000029,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 ***-**,"서울특별시 강남구 언주로 ***, 강남빌딩 *층 ****호 (논현동)",6105.0,주식회사 와이케이12,2026-02-13 17:49:00,I,2026-02-15 00:20:02,,203014.366380569,445788.981583052,대중문화예술기획업,유통관련업,0,,대중문화예술기획업,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사와이케이12_서울특별시강남구논현동***-**
87,대중문화예술기획업,03_08_02_P,6310000,M04022026000001,2026-02-13,,1,영업/정상,1,영업,,,,,,,,울산광역시 울주군 범서읍 천상리 ***번지 *호,"울산광역시 울주군 범서읍 천상*길 **-**, *층",,주식회사 블루메이엔터테인먼트,2026-02-13 17:04:50,I,2026-02-15 00:20:02,,402081.183521639,231437.992617823,대중문화예술기획업,,0,,,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,모델 에이전시,,,,주식회사블루메이엔터테인먼트_울산광역시울주군범서읍천상리***번지*호
88,대중문화예술기획업,03_08_02_P,3220000,CDFF3241092026000030,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 역삼동 ***-**,서울특별시 강남구 봉은사로**길 ** (역삼동),6127.0,주식회사 최강(CHOIKANG),2026-02-13 17:54:43,I,2026-02-15 00:20:02,,202657.064195259,444790.948078003,대중문화예술기획업,유통관련업,0,,대중문화예술기획업,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사최강(CHOIKANG)_서울특별시강남구역삼동***-**
90,대중문화예술기획업,03_08_02_P,3130000,CDFF3241092026000012,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 서교동 ***-**,"서울특별시 마포구 동교로**길 **, B*층 (서교동)",4029.0,주식회사 에이티식스엔터테인먼트,2026-02-12 16:51:35,I,2026-02-15 00:20:02,,192182.365,450150.59,대중문화예술기획업,유통관련업,0,,매니지먼트업,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사에이티식스엔터테인먼트_서울특별시마포구서교동***-**
80,대중문화예술기획업,03_08_02_P,3240000,CDFF3241092026000004,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 성내동 ***-** E&J 빌딩,"서울특별시 강동구 양재대로**길 **, E&J 빌딩 *층 (성내동)",5408.0,주식회사 토다글로벌,2026-02-12 18:40:46,I,2026-02-14 00:20:02,,211716.731304948,446924.613699862,대중문화예술기획업,유통관련업,0,,"가수,배우",0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사토다글로벌_서울특별시강동구성내동***-**E&J빌딩
72,대중문화예술기획업,03_08_02_P,3150000,CDFF3241092026000004,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강서구 마곡동 ***-* 케이스퀘어 마곡,"서울특별시 강서구 마곡중앙로 ***-*, 케이스퀘어 마곡 *층 ***호 (마곡동)",7800.0,애니멀라운지,2026-02-11 09:46:36,I,2026-02-13 00:20:38,,184590.09935714,451162.792485243,대중문화예술기획업,유통관련업,0,,매니저업,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,애니멀라운지_서울특별시강서구마곡동***-*케이스퀘어마곡
